protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,4.55E-05,0.003761296,0.018914592,0.034190428,0.04253693,0.046162423,0.04766856,0.048311245,0.04862381,0.04880197,0.048933312,0.049035277,0.049114395,0.049189705,0.049252458,0.04931152,0.049369726,0.04940855,0.049449112,0.04949016,0.049527053
1,4.55E-04,0.021010717,0.075072736,0.11544633,0.13434352,0.14201279,0.14509802,0.14637916,0.14700289,0.1473831,0.14766848,0.1478622,0.14803204,0.14818646,0.14832117,0.14841968,0.14854334,0.14863044,0.14868803,0.14874724,0.14884113
2,0.002276847,0.05868031,0.14900814,0.19485758,0.212046,0.218372,0.22080044,0.22179346,0.22229894,0.22254074,0.2227944,0.22290175,0.2230289,0.22317229,0.22326294,0.22335392,0.22338939,0.22348747,0.2235528,0.22358799,0.22363046
3,0.00758931,0.109227456,0.1970794,0.21929403,0.2231596,0.22385187,0.22396523,0.22404112,0.22401918,0.22406389,0.22403726,0.22403032,0.2240216,0.2240222,0.22403124,0.22403443,0.22403248,0.2240236,0.22405645,0.22403355,0.2240862
4,0.018972585,0.15253957,0.19548328,0.18504767,0.17614308,0.17207414,0.17042439,0.16969356,0.16933294,0.16915706,0.16899826,0.16888282,0.16876416,0.16869982,0.16862457,0.16856074,0.16849822,0.16843821,0.16839008,0.16835345,0.16831851
5,0.037941914,0.1703519,0.15503651,0.12488692,0.11119381,0.105821244,0.10371927,0.10281578,0.10239472,0.10214001,0.101954795,0.10184478,0.10170008,0.101624794,0.101524346,0.101459846,0.10138497,0.10131659,0.1012535,0.101219036,0.10116689
6,0.06323719,0.15851185,0.1024382,0.07024158,0.058498144,0.05423181,0.052597806,0.05191345,0.051585983,0.05139881,0.05126644,0.051165435,0.051076088,0.051009506,0.050934896,0.05088803,0.050834313,0.050772842,0.050740644,0.050702155,0.05067478
7,0.090332724,0.12635079,0.057992358,0.03385235,0.02637566,0.023819106,0.022860918,0.022465566,0.022277437,0.022166686,0.022095695,0.022036474,0.021988206,0.021941854,0.02190407,0.021877,0.02184354,0.0218184,0.02179206,0.021772487,0.021754773
8,0.11292185,0.08804531,0.028710617,0.014271992,0.010402682,0.009150866,0.008692792,0.008505861,0.008417551,0.008366025,0.008331757,0.00830315,0.008280775,0.008261308,0.008243806,0.008229005,0.008213831,0.008201368,0.00819077,0.008180263,0.00817231
9,0.12546548,0.054444745,0.012624109,0.005347529,0.003647223,0.003125368,0.002938068,0.002862796,0.00282718,0.002806599,0.002792418,0.002781391,0.002772478,0.002764086,0.00275662,0.002750858,0.002745279,0.002740422,0.002735958,0.002731646,0.002728313
