protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,2.31E-05,2.35E-05,2.42E-05,2.51E-05,2.61E-05,2.71E-05,2.80E-05,2.89E-05,2.97E-05,3.04E-05,3.10E-05,3.16E-05,3.21E-05,3.25E-05,3.29E-05,3.33E-05,3.36E-05,3.39E-05,3.41E-05,3.43E-05,3.46E-05
1,2.33E-04,2.36E-04,2.44E-04,2.53E-04,2.63E-04,2.73E-04,2.82E-04,2.90E-04,2.98E-04,3.05E-04,3.11E-04,3.17E-04,3.22E-04,3.27E-04,3.30E-04,3.34E-04,3.37E-04,3.40E-04,3.42E-04,3.44E-04,3.46E-04
2,0.001174076,0.001190128,0.00122795,0.001274149,0.001323443,0.001371693,0.001417971,0.001459515,0.001498254,0.001532966,0.001563883,0.001591557,0.001616069,0.001638259,0.001657739,0.001675036,0.001690526,0.001704296,0.00171627,0.00172713,0.001736662
3,0.003945713,0.003999534,0.004125239,0.004279654,0.00444337,0.004603786,0.004755525,0.004895442,0.005022272,0.005135581,0.005238481,0.005328721,0.005409951,0.005482817,0.005548226,0.005603938,0.005655314,0.005701299,0.005739757,0.005776124,0.005808897
4,0.0099559,0.010086421,0.010404081,0.010789705,0.01119706,0.011596448,0.011974451,0.012320922,0.012635185,0.012914968,0.013169444,0.013392974,0.013590898,0.013765067,0.013930089,0.014070554,0.014193004,0.014304787,0.014406202,0.014493651,0.014574859
5,0.020119758,0.020380644,0.02101026,0.021786906,0.02259864,0.023386737,0.024138018,0.024829544,0.025438849,0.025992297,0.026491443,0.026934499,0.02733289,0.027681474,0.028000414,0.028265519,0.028515574,0.028739888,0.02892931,0.02910931,0.029253116
6,0.033936135,0.0343693,0.03542178,0.036701284,0.03804572,0.039366882,0.04059587,0.041724134,0.042739693,0.04364579,0.04447192,0.045181707,0.045840066,0.04639212,0.046909302,0.04737162,0.047773417,0.048139676,0.048467763,0.048740704,0.048980974
7,0.049162626,0.049757004,0.051248122,0.05309152,0.0550053,0.05688908,0.058599893,0.06017933,0.06160598,0.06287705,0.06401161,0.06501498,0.06593903,0.06673193,0.06745318,0.06811092,0.068649076,0.06916652,0.06960605,0.07002196,0.07034754
8,0.06246393,0.06318313,0.06504579,0.0673441,0.06972654,0.07202226,0.07414156,0.076082185,0.07779334,0.07939296,0.0807894,0.082005985,0.083118625,0.08409787,0.084966555,0.08574583,0.08641642,0.08704248,0.08758555,0.08805619,0.08850569
9,0.07081788,0.07155461,0.07361912,0.07614656,0.07877999,0.081281476,0.08357994,0.08569273,0.087565206,0.08926858,0.09073354,0.09210359,0.09326473,0.09434535,0.095276214,0.09611492,0.0968505,0.097501524,0.09811755,0.09861289,0.09910647
10,0.07261259,0.07327513,0.07527742,0.077818684,0.080405034,0.08284655,0.08508526,0.0871126,0.08893181,0.09056997,0.09201814,0.09327672,0.09444106,0.095444106,0.09633141,0.09715548,0.0978819,0.09851706,0.09909763,0.09959364,0.10002136
11,0.068156704,0.068664484,0.07042818,0.07269746,0.07498537,0.07713061,0.07910606,0.0808717,0.08246358,0.08388306,0.08510099,0.08621823,0.08721423,0.08808588,0.08885768,0.0895734,0.09019577,0.09073772,0.09125021,0.09168282,0.09208213
12,0.059283797,0.059541926,0.06093748,0.06274346,0.06459345,0.06631756,0.06787268,0.06923778,0.070484824,0.071592785,0.07255595,0.073432766,0.074194066,0.07487521,0.07547701,0.07602606,0.07651905,0.076955564,0.077330954,0.0776695,0.077995256
13,0.048354175,0.048396118,0.04931438,0.050613638,0.051961564,0.053166933,0.054276947,0.0552615,0.056129716,0.056897476,0.057570294,0.058172274,0.05872601,0.059201147,0.059620813,0.060008146,0.060340405,0.060649298,0.060903758,0.061138056,0.06135679
14,0.037556503,0.037410744,0.0378617,0.038661897,0.03949982,0.04027226,0.040966447,0.0415683,0.042110264,0.04258716,0.042997316,0.04335743,0.043709934,0.0439813,0.04423787,0.044478185,0.044691164,0.04487665,0.045026172,0.0451797,0.04530626
15,0.02833097,0.028036864,0.028054379,0.028434189,0.028861037,0.029273069,0.029628564,0.029936053,0.03019638,0.030441578,0.030642722,0.03083374,0.03100092,0.031138996,0.0312619,0.03138121,0.031481456,0.031581774,0.031644337,0.031735394,0.031793572
16,0.021342337,0.02094749,0.02063054,0.020640774,0.020763272,0.020879466,0.020990793,0.021082576,0.0211544,0.02122292,0.021279678,0.021329664,0.021366185,0.021414496,0.021448012,0.02147774,0.021505468,0.021537794,0.02155778,0.021571843,0.021596473
17,0.016640222,0.016191551,0.015601837,0.015336426,0.015207931,0.01513248,0.015065323,0.015002824,0.014955115,0.014906428,0.014861527,0.014818803,0.014785713,0.014755428,0.01472435,0.01469821,0.014674683,0.014661307,0.01464079,0.014622175,0.014610838
18,0.013938175,0.013477535,0.012683103,0.012186933,0.011878886,0.011648238,0.011463419,0.011301639,0.011159463,0.011033907,0.010921019,0.010821839,0.010732658,0.010652741,0.010578204,0.010517305,0.010461915,0.010411677,0.010366953,0.010326307,0.010292603
19,0.012833305,0.012388873,0.011442916,0.010762877,0.010302825,0.009955687,0.009672548,0.00943394,0.009221766,0.009037001,0.008871114,0.008725629,0.008596101,0.00848031,0.008376907,0.008282472,0.00820064,0.008128073,0.008066025,0.008005868,0.007957595
20,0.012943942,0.012536875,0.011485416,0.010643101,0.010045088,0.009589981,0.00921927,0.008904802,0.008630777,0.008389046,0.008176517,0.007986641,0.007818326,0.007665639,0.007533712,0.007413217,0.007310534,0.007216042,0.007131927,0.007058125,0.006990953
21,0.013946554,0.013589472,0.012471153,0.011489883,0.010752156,0.010183974,0.00972018,0.009325966,0.008980401,0.008681038,0.008410899,0.008175374,0.00796409,0.007775677,0.00760901,0.007461198,0.007331129,0.007214739,0.007107776,0.007015526,0.006932439
22,0.015569707,0.015261526,0.014127784,0.013014711,0.012144258,0.011454604,0.010882645,0.010397493,0.009973479,0.009601133,0.009269038,0.008979369,0.008718091,0.008486401,0.008280748,0.008098059,0.007934811,0.007787478,0.007659941,0.007545735,0.007442645
23,0.017578734,0.017323278,0.016201785,0.014981146,0.013979756,0.013156718,0.012473325,0.011885879,0.011369573,0.010915551,0.010511536,0.010157593,0.009842024,0.009560929,0.009308675,0.00908467,0.008886648,0.008711509,0.008554605,0.008415483,0.008289903
24,0.019744502,0.019536471,0.01846091,0.017168818,0.016039954,0.015090198,0.014280428,0.013584414,0.012970428,0.012427634,0.011949242,0.011524846,0.011144434,0.010808667,0.010508387,0.010242023,0.010007153,0.009794,0.009606001,0.009440388,0.009291037
25,0.021844784,0.021676527,0.020671664,0.019338965,0.018104289,0.017031437,0.016107328,0.015299592,0.014589911,0.013959798,0.013399262,0.01290364,0.01246356,0.012070148,0.011722129,0.011412838,0.011135487,0.010890687,0.010671956,0.010476463,0.010305059
26,0.023651568,0.023520926,0.02261461,0.021279123,0.019960253,0.018792951,0.017757371,0.016849674,0.01604786,0.015337644,0.014705672,0.01414578,0.013645253,0.0132036,0.012807636,0.012456237,0.012145601,0.011867124,0.011619751,0.011399851,0.011203053
27,0.02498598,0.024888048,0.024072671,0.0227705,0.021411823,0.020165471,0.019064173,0.018067947,0.017196108,0.0164173,0.015728304,0.015111677,0.014565914,0.014074912,0.013643692,0.013260001,0.012916435,0.012611919,0.012339911,0.012097584,0.011885272
28,0.025694782,0.025616659,0.024913004,0.023684327,0.022319604,0.021041133,0.019881824,0.018838935,0.01791228,0.01709394,0.016350837,0.015698396,0.015116646,0.014601005,0.014138094,0.013728227,0.013364485,0.013042567,0.012753846,0.012496294,0.012267536
29,0.025682451,0.02562291,0.025043104,0.02389749,0.022581195,0.021302385,0.02012225,0.019071257,0.018110702,0.01726524,0.016501294,0.015841357,0.015241773,0.014708699,0.014238982,0.01381606,0.013442459,0.013108845,0.012811953,0.012547796,0.012318339
30,0.024953013,0.0249055,0.024440227,0.023414262,0.022166092,0.020928817,0.019776646,0.018727567,0.017779004,0.016933775,0.016187603,0.015518596,0.014926201,0.014393365,0.01391971,0.013502747,0.013132665,0.012798665,0.012500898,0.012240692,0.012006551
31,0.023564683,0.023530202,0.0231517,0.022260314,0.021122467,0.01997281,0.018863004,0.017852154,0.016945427,0.016130416,0.015409119,0.014763023,0.014186124,0.013677525,0.013222718,0.012820038,0.012458456,0.012139916,0.011852773,0.011599912,0.011374755
32,0.021625329,0.021604154,0.021306278,0.02054562,0.019547105,0.018483076,0.017457027,0.016532896,0.015680108,0.014919566,0.014245731,0.013641463,0.013104267,0.012625431,0.012201486,0.011819074,0.011486559,0.011184454,0.010919407,0.010681233,0.010471469
33,0.019296471,0.019282077,0.019054469,0.018431125,0.01756338,0.016621966,0.015710859,0.01486316,0.014097243,0.013407936,0.012796339,0.012248146,0.011757344,0.011326206,0.010938794,0.010595061,0.010286046,0.010015599,0.009773635,0.009558489,0.009364561
34,0.016749071,0.016737891,0.016568799,0.016064484,0.015334351,0.014527251,0.013733949,0.012992887,0.012316975,0.011713016,0.011170413,0.010688372,0.010257217,0.009875964,0.009534509,0.009230484,0.008959934,0.008723391,0.008507638,0.008317537,0.008148972
35,0.014146259,0.014138031,0.01401493,0.013621092,0.013023761,0.012348629,0.011674844,0.011042639,0.010468447,0.009949467,0.009484361,0.009073682,0.008702673,0.00837617,0.00808517,0.007825947,0.007593298,0.007389656,0.007206712,0.007043943,0.006897368
36,0.011635585,0.011626088,0.011538804,0.011239203,0.010762583,0.01021171,0.009657783,0.009132787,0.008655814,0.008225165,0.0078423,0.007498067,0.007188682,0.006915236,0.006673404,0.006456536,0.006264402,0.006092339,0.005942705,0.005805427,0.005683932
37,0.009321075,0.009314644,0.00925269,0.009031734,0.008661549,0.008222325,0.007780145,0.007355914,0.006971622,0.006622685,0.006310142,0.006031134,0.005782251,0.005561771,0.005363709,0.005188982,0.005033885,0.004894874,0.004770325,0.004659485,0.004563352
38,0.007277622,0.007276195,0.007232607,0.007068656,0.006789166,0.006451556,0.006104534,0.005774772,0.005470397,0.005194961,0.004948774,0.0047277,0.004531524,0.004356979,0.004202764,0.004063685,0.003941399,0.003830512,0.003732338,0.003645763,0.003569552
39,0.005541861,0.00553972,0.005510982,0.005395972,0.005188094,0.004935836,0.004671606,0.004417541,0.004184201,0.00397363,0.003782017,0.003613401,0.003462434,0.003329262,0.003207985,0.00310328,0.003007235,0.002923699,0.002848833,0.002782444,0.002722399
40,0.004117707,0.004114803,0.004098452,0.004017403,0.00386868,0.00368164,0.00348589,0.003296138,0.003122893,0.002964252,0.002822098,0.002694465,0.002582789,0.002480223,0.002391937,0.002311807,0.002242083,0.002178139,0.002120671,0.002070395,0.002025697
41,0.002986349,0.002985524,0.00297418,0.002919404,0.002815786,0.002680905,0.002538176,0.002401005,0.002273507,0.002158508,0.002054226,0.001962266,0.001878803,0.001805018,0.001739336,0.001679795,0.00162846,0.001581611,0.001541685,0.001503676,0.001471322
42,0.002116882,0.00211593,0.002108536,0.002072306,0.002000558,0.001906395,0.001805345,0.001707902,0.001616022,0.001533382,0.00146016,0.001394028,0.001334913,0.001282268,0.001235297,0.001193552,0.001156376,0.001123395,0.001094041,0.001067641,0.001044607
43,0.001465576,0.001465246,0.001460122,0.001436483,0.00138841,0.001324094,0.001254382,0.001186684,0.001123361,0.001065642,0.001014331,9.68E-04,9.27E-04,8.90E-04,8.57E-04,8.28E-04,8.02E-04,7.79E-04,7.59E-04,7.41E-04,7.24E-04
44,9.92E-04,9.92E-04,9.89E-04,9.74E-04,9.42E-04,8.99E-04,8.52E-04,8.06E-04,7.63E-04,7.24E-04,6.89E-04,6.57E-04,6.29E-04,6.04E-04,5.82E-04,5.62E-04,5.44E-04,5.28E-04,5.14E-04,5.02E-04,4.91E-04
45,6.57E-04,6.57E-04,6.55E-04,6.46E-04,6.25E-04,5.97E-04,5.66E-04,5.35E-04,5.07E-04,4.81E-04,4.57E-04,4.36E-04,4.17E-04,4.01E-04,3.86E-04,3.73E-04,3.61E-04,3.50E-04,3.41E-04,3.33E-04,3.26E-04
46,4.26E-04,4.26E-04,4.25E-04,4.19E-04,4.06E-04,3.88E-04,3.68E-04,3.48E-04,3.29E-04,3.12E-04,2.97E-04,2.84E-04,2.71E-04,2.60E-04,2.51E-04,2.42E-04,2.34E-04,2.28E-04,2.21E-04,2.16E-04,2.11E-04
47,2.70E-04,2.70E-04,2.70E-04,2.66E-04,2.58E-04,2.47E-04,2.34E-04,2.21E-04,2.10E-04,1.99E-04,1.89E-04,1.80E-04,1.72E-04,1.66E-04,1.60E-04,1.54E-04,1.49E-04,1.45E-04,1.41E-04,1.37E-04,1.34E-04
48,1.68E-04,1.68E-04,1.68E-04,1.66E-04,1.61E-04,1.54E-04,1.46E-04,1.38E-04,1.31E-04,1.24E-04,1.18E-04,1.12E-04,1.07E-04,1.03E-04,9.93E-05,9.58E-05,9.28E-05,9.00E-05,8.76E-05,8.55E-05,8.35E-05
49,1.03E-04,1.02E-04,1.02E-04,1.01E-04,9.81E-05,9.39E-05,8.91E-05,8.43E-05,7.97E-05,7.56E-05,7.19E-05,6.85E-05,6.56E-05,6.29E-05,6.06E-05,5.85E-05,5.66E-05,5.49E-05,5.34E-05,5.21E-05,5.09E-05
50,3.19E-05,3.19E-05,3.17E-05,3.11E-05,2.99E-05,2.82E-05,2.64E-05,2.47E-05,2.30E-05,2.16E-05,2.03E-05,1.92E-05,1.82E-05,1.74E-05,1.66E-05,1.60E-05,1.54E-05,1.49E-05,1.44E-05,1.40E-05,1.37E-05
