ProteinB,ProteinC,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,0,4.62E-06,4.68E-06,4.83E-06,5.01E-06,5.21E-06,5.42E-06,5.63E-06,5.81E-06,6.00E-06,6.18E-06,6.33E-06,6.47E-06,6.60E-06,6.72E-06,6.83E-06,6.92E-06,7.03E-06,7.08E-06,7.16E-06,7.21E-06,7.29E-06
0,1,1.55E-06,1.57E-06,1.62E-06,1.68E-06,1.76E-06,1.83E-06,1.91E-06,1.98E-06,2.05E-06,2.12E-06,2.17E-06,2.23E-06,2.27E-06,2.31E-06,2.35E-06,2.39E-06,2.42E-06,2.45E-06,2.47E-06,2.49E-06,2.52E-06
0,2,4.91E-07,4.98E-07,5.16E-07,5.41E-07,5.69E-07,5.99E-07,6.28E-07,6.56E-07,6.82E-07,7.05E-07,7.25E-07,7.45E-07,7.63E-07,7.77E-07,7.92E-07,8.02E-07,8.13E-07,8.23E-07,8.32E-07,8.39E-07,8.46E-07
0,3,3.44E-07,3.49E-07,3.63E-07,3.83E-07,4.05E-07,4.28E-07,4.49E-07,4.70E-07,4.88E-07,5.05E-07,5.20E-07,5.33E-07,5.45E-07,5.56E-07,5.65E-07,5.74E-07,5.82E-07,5.89E-07,5.95E-07,6.01E-07,6.05E-07
0,4,4.29E-07,4.36E-07,4.55E-07,4.80E-07,5.07E-07,5.34E-07,5.60E-07,5.84E-07,6.05E-07,6.25E-07,6.43E-07,6.59E-07,6.73E-07,6.86E-07,6.97E-07,7.07E-07,7.16E-07,7.24E-07,7.31E-07,7.38E-07,7.43E-07
0,5,6.36E-07,6.47E-07,6.75E-07,7.11E-07,7.49E-07,7.86E-07,8.22E-07,8.56E-07,8.86E-07,9.14E-07,9.38E-07,9.60E-07,9.80E-07,9.98E-07,1.01E-06,1.03E-06,1.04E-06,1.05E-06,1.06E-06,1.07E-06,1.08E-06
0,6,9.35E-07,9.50E-07,9.88E-07,1.04E-06,1.09E-06,1.15E-06,1.20E-06,1.24E-06,1.28E-06,1.32E-06,1.36E-06,1.39E-06,1.41E-06,1.44E-06,1.46E-06,1.48E-06,1.49E-06,1.51E-06,1.52E-06,1.54E-06,1.55E-06
0,7,1.27E-06,1.29E-06,1.34E-06,1.41E-06,1.48E-06,1.55E-06,1.61E-06,1.67E-06,1.72E-06,1.77E-06,1.82E-06,1.85E-06,1.89E-06,1.92E-06,1.95E-06,1.97E-06,1.99E-06,2.01E-06,2.03E-06,2.04E-06,2.06E-06
0,8,1.58E-06,1.61E-06,1.67E-06,1.74E-06,1.82E-06,1.90E-06,1.97E-06,2.04E-06,2.11E-06,2.16E-06,2.21E-06,2.26E-06,2.30E-06,2.33E-06,2.36E-06,2.39E-06,2.41E-06,2.44E-06,2.45E-06,2.47E-06,2.48E-06
0,9,1.79E-06,1.82E-06,1.88E-06,1.96E-06,2.04E-06,2.13E-06,2.20E-06,2.27E-06,2.34E-06,2.40E-06,2.45E-06,2.49E-06,2.54E-06,2.57E-06,2.60E-06,2.63E-06,2.65E-06,2.68E-06,2.70E-06,2.71E-06,2.73E-06
0,10,1.86E-06,1.88E-06,1.94E-06,2.02E-06,2.10E-06,2.18E-06,2.25E-06,2.32E-06,2.38E-06,2.43E-06,2.48E-06,2.52E-06,2.56E-06,2.59E-06,2.62E-06,2.64E-06,2.67E-06,2.69E-06,2.70E-06,2.72E-06,2.73E-06
0,11,1.77E-06,1.79E-06,1.85E-06,1.91E-06,1.98E-06,2.05E-06,2.11E-06,2.17E-06,2.22E-06,2.27E-06,2.31E-06,2.34E-06,2.37E-06,2.40E-06,2.42E-06,2.45E-06,2.46E-06,2.48E-06,2.49E-06,2.51E-06,2.52E-06
0,12,1.57E-06,1.59E-06,1.63E-06,1.68E-06,1.74E-06,1.79E-06,1.84E-06,1.88E-06,1.92E-06,1.96E-06,1.99E-06,2.02E-06,2.04E-06,2.06E-06,2.08E-06,2.09E-06,2.11E-06,2.12E-06,2.13E-06,2.14E-06,2.15E-06
0,13,1.29E-06,1.31E-06,1.34E-06,1.38E-06,1.42E-06,1.46E-06,1.49E-06,1.53E-06,1.55E-06,1.58E-06,1.60E-06,1.62E-06,1.63E-06,1.64E-06,1.66E-06,1.67E-06,1.67E-06,1.68E-06,1.69E-06,1.70E-06,1.70E-06
0,14,9.98E-07,1.01E-06,1.03E-06,1.06E-06,1.09E-06,1.11E-06,1.14E-06,1.16E-06,1.17E-06,1.19E-06,1.20E-06,1.21E-06,1.22E-06,1.23E-06,1.24E-06,1.24E-06,1.25E-06,1.25E-06,1.26E-06,1.26E-06,1.26E-06
0,15,7.27E-07,7.36E-07,7.52E-07,7.70E-07,7.86E-07,8.02E-07,8.15E-07,8.27E-07,8.37E-07,8.45E-07,8.52E-07,8.58E-07,8.63E-07,8.66E-07,8.69E-07,8.72E-07,8.75E-07,8.76E-07,8.79E-07,8.80E-07,8.81E-07
0,16,5.01E-07,5.07E-07,5.17E-07,5.28E-07,5.37E-07,5.45E-07,5.53E-07,5.59E-07,5.64E-07,5.68E-07,5.71E-07,5.73E-07,5.75E-07,5.77E-07,5.78E-07,5.79E-07,5.80E-07,5.80E-07,5.80E-07,5.81E-07,5.81E-07
0,17,3.27E-07,3.31E-07,3.37E-07,3.43E-07,3.48E-07,3.52E-07,3.56E-07,3.59E-07,3.61E-07,3.62E-07,3.63E-07,3.64E-07,3.64E-07,3.65E-07,3.65E-07,3.65E-07,3.65E-07,3.64E-07,3.64E-07,3.64E-07,3.64E-07
0,18,2.03E-07,2.06E-07,2.09E-07,2.13E-07,2.15E-07,2.17E-07,2.19E-07,2.19E-07,2.20E-07,2.20E-07,2.20E-07,2.20E-07,2.20E-07,2.19E-07,2.19E-07,2.19E-07,2.18E-07,2.18E-07,2.18E-07,2.17E-07,2.17E-07
0,19,1.21E-07,1.22E-07,1.24E-07,1.26E-07,1.27E-07,1.28E-07,1.28E-07,1.28E-07,1.28E-07,1.28E-07,1.27E-07,1.27E-07,1.27E-07,1.26E-07,1.26E-07,1.25E-07,1.25E-07,1.25E-07,1.24E-07,1.24E-07,1.23E-07
0,20,6.85E-08,6.92E-08,7.04E-08,7.12E-08,7.16E-08,7.19E-08,7.17E-08,7.17E-08,7.14E-08,7.11E-08,7.08E-08,7.04E-08,7.00E-08,6.96E-08,6.92E-08,6.89E-08,6.85E-08,6.82E-08,6.79E-08,6.76E-08,6.74E-08
0,21,3.72E-08,3.76E-08,3.83E-08,3.86E-08,3.88E-08,3.87E-08,3.86E-08,3.84E-08,3.82E-08,3.79E-08,3.77E-08,3.74E-08,3.71E-08,3.68E-08,3.66E-08,3.63E-08,3.61E-08,3.58E-08,3.57E-08,3.55E-08,3.53E-08
0,22,1.94E-08,1.96E-08,1.99E-08,2.01E-08,2.01E-08,2.01E-08,2.00E-08,1.98E-08,1.96E-08,1.95E-08,1.93E-08,1.91E-08,1.89E-08,1.87E-08,1.86E-08,1.84E-08,1.83E-08,1.81E-08,1.80E-08,1.79E-08,1.78E-08
