protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,1.37E-04,1.37E-04,1.37E-04,1.38E-04,1.38E-04,1.39E-04,1.40E-04,1.40E-04,1.41E-04,1.41E-04,1.42E-04,1.42E-04,1.42E-04,1.43E-04,1.43E-04,1.43E-04,1.43E-04,1.43E-04,1.43E-04,1.43E-04,1.43E-04
1,0.001143561,0.001144631,0.001148385,0.001154103,0.001160043,0.001166156,0.001172275,0.001177541,0.001182126,0.001186246,0.001189665,0.001192559,0.00119526,0.001197857,0.001199494,0.001201087,0.00120237,0.00120393,0.001204799,0.001205968,0.001206644
2,0.004827505,0.004832026,0.004849217,0.004874314,0.004902478,0.00493044,0.004956939,0.004981149,0.005002332,0.005020821,0.005036751,0.005050524,0.005062334,0.005073296,0.005081625,0.005089672,0.005096769,0.005102846,0.00510764,0.005111834,0.005115796
3,0.013715153,0.013730576,0.013782331,0.013858539,0.01393961,0.014028665,0.014108609,0.014180108,0.01424215,0.014299806,0.014345086,0.014388492,0.014424173,0.014459077,0.014483186,0.014511955,0.014529394,0.014547668,0.014565743,0.014577938,0.014590151
4,0.029561661,0.029590636,0.029712658,0.029881354,0.030072015,0.03026274,0.030436732,0.030595297,0.030738113,0.030859493,0.030969258,0.031061588,0.031145904,0.031225508,0.031284027,0.031340063,0.031387754,0.031431627,0.031471994,0.031507373,0.031533692
5,0.051632587,0.051686022,0.05189421,0.052195225,0.052526154,0.052863587,0.053175632,0.053449664,0.053705484,0.05392201,0.054116134,0.05429161,0.05444959,0.054573294,0.054686934,0.05478804,0.054872587,0.05495696,0.05502312,0.055083998,0.055137116
6,0.07627797,0.07634823,0.07664745,0.07706667,0.077566154,0.07803836,0.07847814,0.078880124,0.07924253,0.079565436,0.07984447,0.08009324,0.080301985,0.08050442,0.080676146,0.0808268,0.08095067,0.081072904,0.08117589,0.08125788,0.08134368
7,0.098186366,0.098274946,0.09861818,0.09911492,0.099689774,0.100262664,0.10077943,0.10125547,0.101693794,0.10206072,0.10241238,0.10270761,0.1029683,0.10320552,0.103409186,0.10360296,0.10376002,0.103905335,0.10401992,0.10410823,0.10423711
8,0.11263318,0.11270244,0.11302583,0.11351088,0.11406261,0.11460939,0.11512272,0.115573265,0.1160027,0.11636836,0.11669909,0.11699239,0.11725711,0.11747772,0.117693506,0.1178667,0.11803942,0.11816177,0.11831084,0.11843586,0.11850379
9,0.117096156,0.11714129,0.11737427,0.117735885,0.118138246,0.11852027,0.1189392,0.119287916,0.119596854,0.11988792,0.120138824,0.120363876,0.1205537,0.1207491,0.120911665,0.12103787,0.121167615,0.12127146,0.121375844,0.12146952,0.121556945
10,0.11181629,0.1118333,0.111917704,0.11206714,0.11223206,0.112455085,0.112611085,0.11278701,0.11294378,0.11308137,0.11317759,0.11329233,0.11340822,0.113492034,0.11357243,0.11363114,0.11373536,0.11375917,0.113826565,0.11388502,0.11391864
11,0.09912362,0.099098474,0.09902073,0.09895067,0.09889036,0.09882672,0.09877909,0.09872593,0.098667525,0.09866392,0.09863752,0.09858987,0.098613515,0.0985786,0.09856852,0.09854635,0.098557584,0.09852905,0.09853766,0.09854173,0.09853442
12,0.08222726,0.082177185,0.08197888,0.0817258,0.08143143,0.0811697,0.08090229,0.08068098,0.08047824,0.08029682,0.08015068,0.080012456,0.079898946,0.07978184,0.07969247,0.07961427,0.079538204,0.07948695,0.07942056,0.07937712,0.07933824
13,0.06424231,0.064169325,0.06392073,0.063536175,0.06312606,0.06270723,0.062330935,0.06198212,0.061674546,0.06140273,0.061162874,0.060937,0.060756635,0.06058547,0.06044363,0.06031139,0.060197137,0.060095336,0.059994806,0.059923064,0.059859406
14,0.04750901,0.047438152,0.047167893,0.04674649,0.04628217,0.045823783,0.045390997,0.044997532,0.044651195,0.04434176,0.044064622,0.043822292,0.043609682,0.043412004,0.043247156,0.04309989,0.042959873,0.04284394,0.042742033,0.042650152,0.042567786
15,0.03337615,0.03331911,0.033068925,0.03267876,0.032240912,0.03180302,0.031392295,0.031015828,0.03068379,0.030380474,0.030115673,0.029879116,0.029671894,0.029485662,0.02932327,0.029177958,0.029050173,0.028931638,0.028836068,0.028745556,0.028664805
16,0.022343492,0.02229876,0.022097405,0.021770928,0.021401633,0.021031419,0.02068408,0.020371176,0.02007907,0.019824397,0.019597303,0.019392159,0.01921657,0.01905713,0.018915135,0.018793866,0.01868035,0.018580705,0.018500583,0.018423159,0.01835368
17,0.014286232,0.014252286,0.014098725,0.013855101,0.013571044,0.013289239,0.013020841,0.012774689,0.012553263,0.012354812,0.012179915,0.012022669,0.011885795,0.011759535,0.011649649,0.011551969,0.011467273,0.011390599,0.011322983,0.011263955,0.011208949
18,0.008737713,0.008716679,0.008611901,0.008441423,0.008241777,0.008039798,0.007846764,0.007672171,0.007514335,0.007372706,0.007246684,0.007134694,0.007034914,0.00694694,0.006867846,0.006798271,0.006736008,0.006681107,0.006631825,0.006588932,0.0065504
19,0.005122042,0.005108341,0.005041908,0.004930366,0.004798679,0.004664911,0.004537537,0.004420687,0.004315313,0.004221575,0.004136888,0.004062034,0.003995654,0.003936515,0.003884257,0.003837204,0.003795405,0.003758882,0.003726758,0.003697797,0.003671782
20,0.002881036,0.002872827,0.002833155,0.00276511,0.002683626,0.002599826,0.002520732,0.002447335,0.002381926,0.00232283,0.002270506,0.002222924,0.002181348,0.00214451,0.002111781,0.002082326,0.00205632,0.002032872,0.002012407,0.001994533,0.001977961
21,0.001556361,0.001552109,0.001529274,0.001489829,0.001442762,0.001393647,0.00134718,0.00130407,0.001265225,0.001230093,0.0011993,0.001171327,0.001146609,0.001124551,0.001105091,0.001088101,0.001072258,0.001058527,0.001046656,0.001035649,0.001026137
22,8.09E-04,8.06E-04,7.94E-04,7.73E-04,7.46E-04,7.19E-04,6.93E-04,6.69E-04,6.47E-04,6.28E-04,6.10E-04,5.95E-04,5.81E-04,5.69E-04,5.58E-04,5.48E-04,5.39E-04,5.32E-04,5.25E-04,5.19E-04,5.13E-04
23,4.05E-04,4.03E-04,3.97E-04,3.86E-04,3.72E-04,3.58E-04,3.44E-04,3.31E-04,3.20E-04,3.09E-04,3.00E-04,2.92E-04,2.84E-04,2.78E-04,2.72E-04,2.67E-04,2.62E-04,2.58E-04,2.54E-04,2.51E-04,2.48E-04
24,1.95E-04,1.94E-04,1.91E-04,1.86E-04,1.79E-04,1.72E-04,1.65E-04,1.58E-04,1.52E-04,1.47E-04,1.42E-04,1.38E-04,1.34E-04,1.31E-04,1.28E-04,1.25E-04,1.23E-04,1.21E-04,1.19E-04,1.17E-04,1.16E-04
25,9.07E-05,9.04E-05,8.90E-05,8.64E-05,8.30E-05,7.95E-05,7.61E-05,7.29E-05,7.01E-05,6.75E-05,6.52E-05,6.32E-05,6.13E-05,5.97E-05,5.83E-05,5.70E-05,5.58E-05,5.48E-05,5.39E-05,5.31E-05,5.24E-05
26,4.07E-05,4.06E-05,4.00E-05,3.88E-05,3.72E-05,3.56E-05,3.40E-05,3.25E-05,3.12E-05,3.00E-05,2.89E-05,2.80E-05,2.71E-05,2.64E-05,2.57E-05,2.51E-05,2.45E-05,2.41E-05,2.37E-05,2.33E-05,2.29E-05
27,1.77E-05,1.76E-05,1.73E-05,1.68E-05,1.61E-05,1.54E-05,1.47E-05,1.40E-05,1.34E-05,1.29E-05,1.24E-05,1.20E-05,1.16E-05,1.13E-05,1.10E-05,1.07E-05,1.05E-05,1.02E-05,1.01E-05,9.88E-06,9.74E-06
28,7.41E-06,7.39E-06,7.28E-06,7.06E-06,6.76E-06,6.45E-06,6.15E-06,5.86E-06,5.61E-06,5.37E-06,5.17E-06,4.98E-06,4.82E-06,4.67E-06,4.54E-06,4.42E-06,4.32E-06,4.23E-06,4.15E-06,4.07E-06,4.01E-06
29,3.01E-06,3.00E-06,2.96E-06,2.87E-06,2.75E-06,2.62E-06,2.49E-06,2.37E-06,2.27E-06,2.17E-06,2.08E-06,2.01E-06,1.94E-06,1.88E-06,1.82E-06,1.77E-06,1.73E-06,1.69E-06,1.66E-06,1.63E-06,1.60E-06
30,1.18E-06,1.18E-06,1.16E-06,1.13E-06,1.08E-06,1.03E-06,9.79E-07,9.32E-07,8.89E-07,8.50E-07,8.15E-07,7.84E-07,7.56E-07,7.32E-07,7.10E-07,6.90E-07,6.73E-07,6.58E-07,6.44E-07,6.32E-07,6.21E-07
31,4.51E-07,4.50E-07,4.44E-07,4.31E-07,4.13E-07,3.93E-07,3.73E-07,3.55E-07,3.38E-07,3.23E-07,3.09E-07,2.97E-07,2.87E-07,2.77E-07,2.69E-07,2.61E-07,2.54E-07,2.48E-07,2.43E-07,2.38E-07,2.34E-07
32,1.67E-07,1.67E-07,1.65E-07,1.60E-07,1.53E-07,1.45E-07,1.38E-07,1.31E-07,1.25E-07,1.19E-07,1.14E-07,1.10E-07,1.06E-07,1.02E-07,9.87E-08,9.59E-08,9.34E-08,9.11E-08,8.91E-08,8.73E-08,8.57E-08
33,6.01E-08,5.99E-08,5.92E-08,5.74E-08,5.50E-08,5.23E-08,4.96E-08,4.71E-08,4.48E-08,4.27E-08,4.09E-08,3.92E-08,3.78E-08,3.65E-08,3.53E-08,3.43E-08,3.33E-08,3.25E-08,3.18E-08,3.11E-08,3.05E-08
34,2.10E-08,2.09E-08,2.07E-08,2.01E-08,1.92E-08,1.83E-08,1.73E-08,1.64E-08,1.56E-08,1.49E-08,1.42E-08,1.37E-08,1.31E-08,1.27E-08,1.23E-08,1.19E-08,1.16E-08,1.13E-08,1.10E-08,1.08E-08,1.06E-08
35,7.12E-09,7.11E-09,7.02E-09,6.82E-09,6.53E-09,6.21E-09,5.89E-09,5.58E-09,5.31E-09,5.05E-09,4.83E-09,4.63E-09,4.45E-09,4.29E-09,4.15E-09,4.03E-09,3.91E-09,3.81E-09,3.72E-09,3.65E-09,3.58E-09
