protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,0.17285371,0.17279167,0.17282215,0.1728939,0.1732104,0.17382544,0.17465773,0.17580916,0.17714497,0.1786143,0.18016401,0.18177958,0.18334702,0.18490876,0.18644932,0.18795502,0.18933712,0.19070122,0.1919695,0.19316219,0.19426452
1,0.06286235,0.06287126,0.06290946,0.06308627,0.0634357,0.06397511,0.0645828,0.06520959,0.06589191,0.06651451,0.06715545,0.06774927,0.068323955,0.06884527,0.069336094,0.06982116,0.070286304,0.07068502,0.07107581,0.0714069,0.07172784
2,0.023598833,0.023610033,0.023693152,0.023904022,0.024234518,0.024595791,0.024955994,0.025287608,0.025587507,0.025858114,0.026103491,0.026315529,0.02650225,0.026681256,0.026831646,0.026974972,0.02710098,0.027211288,0.027311485,0.027407495,0.027487617
3,0.01770045,0.01772762,0.017863104,0.01811698,0.018424712,0.018723764,0.01899577,0.019239372,0.019449975,0.01963983,0.019798271,0.019945107,0.020075059,0.02018107,0.020278834,0.020365095,0.02044417,0.020508688,0.020572627,0.020623745,0.020671131
4,0.021061825,0.021106616,0.021318112,0.02163988,0.021973431,0.022295818,0.022578517,0.02282958,0.023047494,0.023238216,0.023403183,0.023551168,0.023675563,0.02378786,0.023882756,0.023972673,0.02404818,0.024116253,0.024176082,0.024230754,0.02427125
5,0.029612662,0.029689876,0.029977122,0.030382352,0.030804541,0.03118774,0.031530187,0.03183355,0.032080326,0.032306273,0.032492828,0.032655336,0.032794945,0.032915987,0.033027902,0.033113766,0.033195645,0.03326217,0.033319507,0.033374637,0.03341596
6,0.04216873,0.042257488,0.042614102,0.043108072,0.043604285,0.04406542,0.04445883,0.044801373,0.045090172,0.045329206,0.045531735,0.045701176,0.04583941,0.045959428,0.046051785,0.046134505,0.046197087,0.046257287,0.046308685,0.04634685,0.04637451
7,0.05663194,0.05672694,0.0570954,0.057611354,0.058133807,0.05862,0.059018966,0.059359625,0.059619408,0.05984234,0.060013294,0.060153555,0.060262993,0.060342353,0.060406484,0.06043844,0.06046181,0.06048709,0.06052204,0.06054514,0.060520817
8,0.06994111,0.070017524,0.070334114,0.07077657,0.07123394,0.07162721,0.07195209,0.07219354,0.07237958,0.07251329,0.07262621,0.072664835,0.0726966,0.072699934,0.07268839,0.07266833,0.072629176,0.07258967,0.07255373,0.07251897,0.07247129
9,0.079058036,0.07909489,0.07929502,0.07955754,0.07983788,0.08004679,0.080178276,0.08027905,0.0803336,0.08029872,0.080262914,0.08019929,0.080100894,0.08000743,0.079884075,0.079799585,0.07968792,0.07957611,0.07944059,0.079348795,0.079274096
