protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,4.55E-05,0.003758927,0.01889407,0.034136515,0.0424673,0.046094544,0.047593806,0.048232064,0.048558034,0.048743896,0.048876785,0.048981957,0.04906635,0.049146857,0.049214333,0.049283694,0.049333856,0.04938334,0.049428597,0.04945577,0.049496308
1,4.55E-04,0.021000413,0.07501893,0.11530994,0.13416676,0.14184546,0.14493869,0.14625686,0.14687961,0.1472679,0.147542,0.1477517,0.14793615,0.14808294,0.1482303,0.14834544,0.14844625,0.14854851,0.1486389,0.14871866,0.14877422
2,0.002276763,0.05865375,0.14890815,0.19476613,0.21193756,0.21827736,0.2206914,0.22168282,0.22219084,0.22246002,0.22268352,0.22283843,0.22295153,0.22307107,0.22317794,0.22328272,0.22335504,0.22342713,0.22350536,0.22356309,0.2236
3,0.007588953,0.109226584,0.19702685,0.219257,0.22317478,0.22387089,0.22400647,0.22402912,0.2240166,0.22403567,0.22404182,0.224036,0.22408116,0.22407734,0.22406523,0.2240734,0.22404553,0.22405823,0.22403525,0.22404072,0.22404562
4,0.018972434,0.15253106,0.19547904,0.18509866,0.17622353,0.17218387,0.17050499,0.16977069,0.16941634,0.16920926,0.16905393,0.1689399,0.16883066,0.16873787,0.16866495,0.16860086,0.16852191,0.16849704,0.1684464,0.16839269,0.16836153
5,0.03794007,0.17036408,0.1551025,0.12498795,0.11132055,0.10593442,0.10382103,0.10292303,0.102477916,0.10222999,0.10203667,0.10190349,0.10177782,0.10167269,0.101588316,0.10150534,0.101431064,0.10135932,0.101311065,0.10125328,0.101211615
6,0.06324265,0.15853405,0.102502905,0.07032122,0.05858914,0.054313287,0.05267548,0.05198843,0.05165289,0.051457442,0.051328447,0.05122095,0.05113181,0.051046718,0.05098285,0.05092502,0.05086425,0.050815552,0.050767813,0.0507302,0.050706286
7,0.09034039,0.12637979,0.058049977,0.033905562,0.026430074,0.023863269,0.022905003,0.022507418,0.022317518,0.022206299,0.022126779,0.022066692,0.022014938,0.021970574,0.02193172,0.021895375,0.021861717,0.021835787,0.021811906,0.021787498,0.021771673
8,0.11293793,0.08805287,0.028744565,0.014301141,0.010428445,0.009174517,0.008713939,0.008525871,0.008435088,0.008383432,0.008346679,0.008317906,0.008292566,0.008272399,0.008254066,0.00823791,0.008222845,0.008209872,0.00819832,0.008188364,0.008179324
9,0.12546791,0.054462895,0.012639631,0.005361795,0.003657993,0.003134126,0.002946481,0.002870173,0.00283357,0.002812836,0.002798086,0.002786851,0.002776736,0.002768753,0.002761082,0.002754727,0.002749356,0.002744049,0.002739207,0.002735461,0.002731269
