protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
0,2.95E-05,2.96E-05,3.02E-05,3.09E-05,3.17E-05,3.25E-05,3.32E-05,3.38E-05,3.44E-05,3.49E-05,3.53E-05,3.57E-05,3.61E-05,3.64E-05,3.67E-05,3.69E-05,3.72E-05,3.74E-05,3.75E-05,3.77E-05,3.78E-05
1,3.01E-04,3.02E-04,3.08E-04,3.15E-04,3.22E-04,3.29E-04,3.36E-04,3.42E-04,3.48E-04,3.53E-04,3.57E-04,3.61E-04,3.64E-04,3.67E-04,3.70E-04,3.73E-04,3.75E-04,3.77E-04,3.78E-04,3.80E-04,3.81E-04
2,0.001539505,0.001546707,0.001571194,0.001604583,0.001640228,0.001674986,0.001707663,0.001736724,0.001763064,0.001786212,0.001807441,0.001825793,0.001842595,0.001857158,0.001869958,0.001881125,0.001891355,0.001900371,0.001908307,0.001915642,0.001921675
3,0.005268397,0.005289474,0.005364849,0.005469598,0.005582782,0.005692137,0.005794006,0.005886675,0.005969329,0.006042483,0.006108947,0.006167567,0.006219261,0.006265298,0.006305418,0.006342419,0.00637388,0.006402501,0.006427802,0.006449494,0.006469812
4,0.01356881,0.013617315,0.013787696,0.014030302,0.014291151,0.014549973,0.014780891,0.01500084,0.015194725,0.015368722,0.015519361,0.01565732,0.015779093,0.015886374,0.015980138,0.016063815,0.016139632,0.01620512,0.01626258,0.016312147,0.016367437
5,0.028062182,0.028144842,0.028452912,0.0288945,0.029368548,0.029839413,0.030278418,0.030663278,0.031021126,0.031336974,0.031617697,0.031869724,0.032089416,0.032282162,0.03245855,0.032617074,0.03275186,0.0328807,0.03298159,0.033081092,0.03316483
6,0.04857471,0.048687864,0.049138073,0.049778692,0.05048788,0.05118507,0.051833104,0.052415006,0.05294213,0.053416293,0.053829253,0.054204144,0.054530572,0.054818474,0.05508445,0.055316314,0.055520836,0.055702936,0.055853754,0.056012362,0.056142382
7,0.07240371,0.0725531,0.07307169,0.07384636,0.074711576,0.075564496,0.07635437,0.077062406,0.07770727,0.07828972,0.07878671,0.07925902,0.079659306,0.08001242,0.08034079,0.08062647,0.08086339,0.08110071,0.081298456,0.081473485,0.081632465
8,0.094942614,0.09507172,0.09557254,0.096344866,0.097190306,0.09805284,0.09883951,0.09955352,0.10019882,0.10077234,0.10130117,0.10175727,0.1021636,0.10252651,0.1028469,0.103146516,0.103384875,0.10359189,0.10380179,0.10400117,0.10412384
9,0.11128187,0.11135812,0.11173319,0.11232777,0.1130013,0.113646194,0.11428933,0.11484225,0.11533833,0.11580922,0.116214626,0.11658126,0.116894335,0.11716811,0.117448054,0.11768108,0.117863454,0.11804815,0.11819832,0.118345045,0.118471116
